"Reference","Value","Footprint","Qty","Description","Note"
"C1","5600uF","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm","1","UHW1E562MHD","Footprint has 18mm diameter, even though the part is 16mm (to allow replacement for a bigger part)"
"C2","2200uF","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","1","UHW1E222MHD6",""
"C3","220uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1","UHE1E221MPD",""
"C4,C5,C6","0.1uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","3","K104K15X7RF5TL2",""
"D1,D2,D3,D4,D5","SB540","Diode_THT:D_DO-201AD_P12.70mm_Horizontal","5","SB540-E3/54",""
"H1","PAD_AC_IN_1","Connector_Wire:SolderWire-1.5sqmm_1x01_D1.7mm_OD3.9mm","1","",""
"H2","PAD_AC_IN_2","Connector_Wire:SolderWire-1.5sqmm_1x01_D1.7mm_OD3.9mm","1","",""
"H3","+5VDC","Connector_Wire:SolderWire-1.5sqmm_1x01_D1.7mm_OD3.9mm","1","",""
"H4","GND","Connector_Wire:SolderWire-1.5sqmm_1x01_D1.7mm_OD3.9mm","1","",""
"L1","100uH","Inductor_THT:L_Toroid_Vertical_L24.6mm_W15.5mm_P11.44mm_Pulse_KM-4","1","Pulse PE-92108KNL (100µH, KM-4)",""
"L2","22uH","c64-wedge-psu-pcb:Bourns-6100-220K-RC","1","Bourns 6100-220K-RC (22µH, 4.52A)",""
"LED1","LED","LED_THT:LED_D3.0mm","1","",""
"R1","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","FB to GND (bottom); datasheet R1","1% Metal Film (1/4 W)"
"R2","3.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","Vout to FB (top); datasheet R2","1% Metal Film (1/4 W)"
"R3","200","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","","1% Metal Film (1/4 W)"
"U1","LM2576T-ADJ","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerEven_Lead3.8mm_Vertical","1","LM2576T-ADJ",""
